answer,question
"The
Tungsten Automation Software Lifecycle Policy
describes product release types and provides a policy on the related Support timeline for products.
The
Tungsten Automation Printix Client Lifecycle Support Policy
describes the policy on the lifecycle and support policy for the Tungsten Printix Client.
The
Product Release and Sunset Schedules
file is a table of Tungsten Automation products and their associated Support timelines.
Last updated on April 29, 2026.
The
Tungsten Automation MFP/Network Scanner Support Policy
describes MFP/Network Scanner devices that work with relevant Tungsten Automation products and provides policy on their related Support timelines.
The
MFP Support Matrix
article contains a table of MFP/Network Scanner devices that work with relevant products and their associated Support timeline.
The
MFD & Productivity Supported Devices Information
article contains the latest MFD & Productivity Supported Devices file(s).
The Tungsten Automation Support
Portal Case Data and Attachment Policy
article outlines our current portal case data and attachment policy details.",Lifecycle Policies and End of Support Dates
"The license code exists of several text lines without any special characters.
Example lines of license
Identifier
Details
C AA12345
C
License starts with the license serial number.
Format: 2 letters and 5 or 6 digits.
L 0 -1 -1 -1 -1 20250801 2
L 525 -1 3 10000 10000 -1 -1
L 561 -1
L 535 -1
L 13005 -1
L 37 5
L 30 5
L
License features.
1st number: license / feature number.
2nd number: either -1 (System license) or a single number >0: Station licenses. If there are multiple parameters then it is a Volume license with yearly volume and one-time volume.
Date parameter has format YYYYMMDD (e.g. 20250801) and can be expiration date.
A BB:10:20:30:40:A0
A
MachineID / MAC-ID of (primary) network card of target system.
ID separator needs to be colon.
E 20253007
E
Optional:
Expiration of activation code in format YYYYDDMM.
Afterwards you cannot use this code to activate anymore and need a new one.
X 509899 37AD-199D-1133-AE35 (on old license systems)
or
X 423441 64089626E32685F99EDD40E7D30CFB69EA5
(on newer license systems)
X
Checksum value.
License is only valid, if all license text matches the calculated checksum.",Format of license activation code
"Where is this setting configured?
In a normal on-premise system, this setting can be adjusted in the Designer under System > System Settings > Database, retention, and reporting > Reporting Server > Data retention period > Documents.
In a multitenant system (Cloud/OPMT), retention settings are set centrally in the Tenant Management System. This is found by clicking into the tenant then scrolling down to the Reporting section, which contains ""Document Retention Period"".
When is reporting document data retention run?
Reporting document retention is run at the start of an iteration of reporting service processing, once the current time in UTC is greater than the value in TotalAgility_Reporting.retention_stamp.dt_last_retention. Prior to 2026.3, the timestamp is always written without the time component, meaning that retention always triggers at midnight UTC. As of 2026.3, the time reporting retention executes is configurable.
What criteria are used for retention of document data?
Retention is applied to documents that are:
marked completed (TotalAgility_Reporting.doc_dim.is_processing_completed=1), or
deleted from TotalAgility (TotalAgility_Reporting.doc_dim.is_deleted=1)
When is completed/deleted document data removed by retention...
When using KAFTA 1.5+?
KAFTA 1.5s Hourly plan has a step named Update etl_job for processed data which will update TotalAgility_Reporting.etl_job.etl_status to -1 to indicate a range of data has already been loaded into KAFTA. Thus, the data is not needed in reporting anymore, and the data of any completed/deleted documents loaded in KAFTA will be removed in the next run of retention. This happens without regard to the age of the document, or the number of days specified in the retention settings.
It is good for performance that the data is removed once already loaded into KAFTA. But if needed, this behavior can be disabled by disabling the ""Update etl_job for processed data"" step withing the Hourly Execution Plan. For details see
TAFTA 1.5: Manually Run Execution Plan Cause Missing Data
Without KAFTAs etl_job update?
This applies when using KAFTA 1.4 or if the ""Update etl_job for processed data"" execution plan step is disabled
When the above KAFTA behavior isnt in effect, reporting retention will remove document data where the document is completed or deleted and was last processed longer ago than the number of days specified in the retention setting. The documents last processed time is determined from TotalAgility.doc_dim.dt_last_proc_datetime.
How many documents are deleted per PurgeDocumentData iteration?
The number of documents deleted per iteration use the environment variable ""PurgeFieldDataBatchSize"", default 10,000.
Are there any retention related considerations while troubleshooting an issue with reporting or Insight/KAFTA?
See
Preserve data while troubleshooting a KTA Reporting processing issue",TotalAgility Reporting Data Retention
"The following steps show how the Federated Security login can be bypassed when access to KTA outside of FS is required. This might be necessary, for instance if the admin login cannot be authenticated using FS or when a license server is changed and the database is still pointing to the old license server. This information is also found in the KTA Administrators Guide.
Log on to TotalAgility in Recovery Mode
To log on to TotalAgility in recovery mode, you should have full control or read write permissions. You can log on to TotalAgility in recovery mode by using the recovery mode session ID. To obtain or update the recovery mode session ID:
1. Run the
Configuration Utility*
from your installed location.
2. On the App settings tab, locate the RecoveryModeSessionId key. By default, the key has a session ID that can be used to logon. You can change the session ID as required.
3. The
Recovery Mode Session ID**
is also stored in the Web.config file from the following setting:
<add key= ""RecoveryModeSessionId"" value= <recovery mode session ID>/>
4. Use the following URL:
http://<server name>/TotalAgility/Designer/#/logon/recovery
to log on.
5. Enter the Recovery mode session ID and click Validate. The Recovery mode page appears.
6. Enter the Username and Password.
7. Click Login. The TotalAgility Designer is launched in the recovery mode.
* Note:
The configuration utility is available on the installation media and must be manually copied to your Kofax TotalAgility server.
** Note:
The recovery mode session ID is unique. With each installation, the value in Web.config is updated with a new ID.
8. If it was enabled and you cannot find it in Config Utility or web.config file, you can use this query to retrieve it from the database:
select
cast(server_settings as XML).value('(/ServerSettingsServerEntity/ServerSettingsServerEntity/RecoveryModeSessionId)[1]', 'varchar(max)')
as RecoveryModeSessionId
from server_data with (nolock)
In future, before enabling FS, you should get the recovery session ID from the KTA Designer > System Settings > Logon and authentication > User sessions > Recovery mode session ID (available from version 7.11).
Level of Complexity
Easy",How to Use Federated Security Recovery Mode to Log Into TotalAgility
"2026.2
2026.2.1
2237990, 28107588:
The Reporting Server log recorded the following error: ""Violation of UNIQUE KEY constraint. Cannot insert duplicate key.""
2026.1
2026.1.3
2227974, 28046298:
The Mark Finished Capture activity in Reporting recorded entries in the WSA_MESSAGES table despite the Reporting feature being turned off.
2026.1.2
2216262, 28043609:
The Reporting system task failed with the following error: Cannot insert duplicate key in object 'dbo.@p' (OrmDoc).
2025.2
2025.2.7
2237987, 28107588:
The Reporting Server log recorded the following error: ""Violation of UNIQUE KEY constraint. Cannot insert duplicate key.""
2025.2.4
2227971, 28046298:
The Mark Finished Capture activity in Reporting consistently recorded entries in the WSA_MESSAGES table, even when the reporting feature was turned off.
2025.2.3
2216261, 28043609:
The Reporting processing stopped with the following error: Cannot insert duplicate key in object 'dbo.@p' (OrmDoc).
2025.2.1
2204098, 28004625:
After data retention in the Reporting system, the unique doc_key in Kofax Analytics for TotalAgility was reused. Instead of continuing from the next identity value, it was reassigned starting from the current maximum ID in the table. This resulted in mixed and inconsistent report data, as old keys overlapped with newly generated ones.",Reporting issues resolved in TotalAgility Fix Packs
"Latest 2026.2 Releases
TotalAgility
Description
Release Date
Download
Tungsten TotalAgility 2026.2.1 (2026.2, Update 1)
May 05, 2026
Available for download from the
Tungsten Fulfillment Site
.
Tungsten TotalAgility 2026.2 (2026.2, Initial Release)
April 28, 2026
Tungsten TotalAgility 2026.2 Documentation - Including Release Notes and Technical Specifications
(hosted)
TotalAgility On-Premise Multi-Tenancy
Description
Release Date
Download
Tungsten TotalAgility On-Premise Multi-Tenancy 2026.2.1 (2026.2, Update 1)
May 05, 2026
Available for download from the
Tungsten Fulfillment Site
.
Tungsten TotalAgility On-Premise Multi-Tenancy 2026.2 (2026.2, Initial Release)
April 28, 2026
Tungsten TotalAgility On-Premise Multi-Tenancy 2026.2 Documentation
(hosted)
TotalAgility On-Premise Components (Contains Integration Server and Transformation Designer)
Description
Release Date
Download
Tungsten TotalAgility 2026.2.1 (2026.2, Update 1) On-Premise Components
May 05, 2026
Available for download from the
Tungsten Fulfillment Site
.
Tungsten TotalAgility 2026.2 (2026.2, Initial Release) On-Premise Components
April 28, 2026
Search and Matching Server
Description
Release Date
Download
Search and Matching Server 6.10.0 (6.10, Initial Release)
November 08, 2024
Available for download from the
Tungsten Fulfillment Site
.
Search and Matching Server 6.10.0 Documentation - Including Release Notes and Technical Specifications
(hosted)
TotalAgility Azure
Description
Release Date
Tungsten TotalAgility 2026.2 (2026.2, Initial Release)
April 28, 2026
Tungsten TotalAgility Azure 2026.2 Tenant Management System Help
(hosted)
Latest 2026.1 Releases
TotalAgility
Description
Release Date
Download
Tungsten TotalAgility 2026.1.4 (2026.1, Update 4)
April 02, 2026
Available for download from the
Tungsten Fulfillment Site
.
Tungsten TotalAgility 2026.1 R2 (2026.1, Second Release)
April 17, 2026
Tungsten TotalAgility 2026.1 Documentation - Including Release Notes and Technical Specifications (hosted)
TotalAgility On-Premise Multi-Tenancy
Description
Release Date
Download
Tungsten TotalAgility On-Premise Multi-Tenancy 2026.1.4 (2026.1, Update 4)
April 02, 2026
Available for download from the
Tungsten Fulfillment Site
.
Tungsten TotalAgility On-Premise Multi-Tenancy 2026.1 R2 (2026.1, Second Release)
April 17, 2026
Tungsten TotalAgility On-Premise Multi-Tenancy 2026.1 Documentation (hosted)
TotalAgility On-Premise Components (Contains Integration Server and Transformation Designer)
Description
Release Date
Download
Tungsten TotalAgility 2026.1.4 (2026.1, Update 4) On-Premise Components
April 02, 2026
Available for download from the
Tungsten Fulfillment Site
.
Tungsten TotalAgility 2026.1 R2 (2026.1, Second Release) On-Premise Components
April 17, 2026
Search and Matching Server
Description
Release Date
Download
Search and Matching Server 6.10.0 (6.10, Initial Release)
November 08, 2024
Available for download from the
Tungsten Fulfillment Site
.
Search and Matching Server 6.10.0 Documentation - Including Release Notes and Technical Specifications
(hosted)
TotalAgility Azure
Description
Release Date
Tungsten TotalAgility 2026.1 (2026.1, Initial Release)
January 20, 2026
Tungsten TotalAgility Azure 2026.1 Tenant Management System Help (hosted)
Latest 2025.2 Releases
TotalAgility
Description
Release Date
Download
TotalAgility 2025.2.7 (2025.2, Update 7)
June 01, 2026
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility 2025.2 R2 (2025.2, Second Release)
April 16, 2026
TotalAgility 2025.2 (Initial Release)
September 04, 2025
TotalAgility 2025.2 Documentation - Including Release Notes and Technical Specifications (hosted)
TotalAgility On-Premise Multi-Tenancy
Description
Release Date
Download
TotalAgility On-Premise Multi-Tenancy 2025.2.7 (2025.2, Update 7)
June 01, 2026
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility On-Premise Multi-Tenancy 2025.2 R2 (2025.2, Second Release)
April 16, 2026
TotalAgility On-Premise Multi-Tenancy 2025.2 (Initial Release)
September 04, 2025
TotalAgility On-Premise Multi-Tenancy 2025.2 Documentation (hosted)
TotalAgility On-Premise Components (Contains Integration Server and Transformation Designer)
Description
Release Date
Download
TotalAgility 2025.2.7 (2025.2, Update 7) On-Premise Components
June 01, 2026
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility 2025.2 R2 (2025.2, Second Release) On-Premise Components
April 16, 2026
TotalAgility 2025.2 (Initial Release) On-Premise Components
September 04, 2025
TotalAgility Azure
Description
Release Date
TotalAgility 2025.2 (2025.1, Initial Release)
September 04, 2025
Latest 8.1 Releases
TotalAgility
Description
Release Date
Download
TotalAgility 8.1.0.17 (8.1 Fix Pack 17)
May 06, 2026
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility 8.1.0 R2 (8.1, Second Release)
March 24, 2026
TotalAgility 8.1.0 Documentation - Including Release Notes and Technical Specifications (hosted)
TotalAgility On-Premise Multi-Tenancy
Description
Release Date
Download
TotalAgility
On-Premise Multi-Tenancy
8.1.0.17 (8.1,Fix Pack 17)
May 06, 2026
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility On-Premise Multi-Tenancy 8.1.0 R2 (8.1, Second Release)
March 24, 2026
TotalAgility On-Premise Multi-Tenancy 8.1.0 Documentation (hosted)
TotalAgility On-Premise Components (Contains Integration Server and Transformation Designer)
Description
Release Date
Download
TotalAgility 8.1.0.17 (8.1, Fix Pack 17) On-Premise Components
May 06, 2026
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility 8.1.0 (8.1, Initial Release) On-Premise Components
November 08, 2024
Search and Matching Server
Description
Release Date
Download
Search and Matching Server 6.10.0 (6.10, Initial Release)
November 08, 2024
Available for download from the
Tungsten Fulfillment Site
.
Search and Matching Server 6.10.0 Documentation - Including Release Notes and Technical Specifications (hosted)
TotalAgility Azure
Description
Release Date
TotalAgility 8.1.0 (8.1, Initial Release)
November 08, 2024
Latest 8.0 Releases
TotalAgility
Description
Release Date
Download
TotalAgility 8.0.1.14 (8.0, Service Pack 1, Fix Pack 14)
April 17, 2026
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility 8.0.0 (8.0, Initial Release)
February 20, 2024
TotalAgility 8.0 Documentation - Including Release Notes and Technical Specifications
(hosted
)
TotalAgility On-Premise Multi-Tenancy
Description
Release Date
Download
TotalAgility On-Premise Multi-Tenancy 8.0.1.14 (8.0, Service Pack 1, Fix Pack 14)
April 17, 2026
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility On-Premise Multi-Tenancy 8.0.0 (8.0, Initial Release)
February 20, 2024
TotalAgility On-Premise Multi-Tenancy 8.0
Documentation
(hosted)
TotalAgility On-Premise Components (Contains Integration Server and Transformation Designer)
Description
Release Date
Download
TotalAgility 8.0.1.14 (8.0, Service Pack 1, Fix Pack 14) On-Premise Components
April 17, 2026
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility 8.0.0 (8.0, Initial Release) On-Premise Components
February 20. 2024
Search and Matching Server
Description
Release Date
Download
Search and Matching Server 6.9.0.3 (6.9, Fix Pack 3)
May 07, 2024
Available for download from the
Tungsten Fulfillment Site
.
Search and Matching Server 6.9.0 Documentation - Including Release Notes and Technical Specifications
(hosted)
TotalAgility Azure
Description
Release Date
TotalAgility 8.0 (8.0, Initial Release)
February 20, 2024
Latest 7.11 Releases
This product reached
Limited Support
on February 07, 2026
.
TotalAgility
Description
Release Date
Download
TotalAgility 7.11.0.31 (7.11, Fix Pack 31)
November 12, 2025
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility 7.11.0 R3 (7.11, Release 3)
Release 3 contains the fix to
1943164:
The upgrade to TotalAgility 7.11.0 failed on UpdateBusinessProcessVariableDisplayProperties with the following error: ""Error upgrading database artifacts.""
March 23, 2023
TotalAgility 7.11 Documentation - Including Release Notes and Technical Specifications
(hosted
)
TotalAgility On-Premise Multi-Tenancy
Description
Release Date
Download
TotalAgility On-Premise Multi-Tenancy 7.11.0.31 (7.11, Fix Pack 31)
November 12, 2025
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility On-Premise Multi-Tenancy 7.11.0 R3 (7.11, Release 3)
Release 3 contains the fix to
1943164:
The upgrade to TotalAgility 7.11.0 failed on UpdateBusinessProcessVariableDisplayProperties with the following error: ""Error upgrading database artifacts.""
March 23, 2023
TotalAgility On-Premise Multi-Tenancy
7
.11 Documentation
(hosted)
TotalAgility On-Premise Components (Contains Integration Server and Transformation Designer)
Description
Release Date
Download
TotalAgility 7.11.0.31 (7.11, Fix Pack 31) On-Premise Components
November 12, 2025
Available for download from the
Tungsten Fulfillment Site
.
TotalAgility 7.11.0 R3 (7.11, Release 3) On-Premise Components
Release 3 contains the fix to
1943164:
The upgrade to TotalAgility 7.11.0 failed on UpdateBusinessProcessVariableDisplayProperties with the following error: ""Error upgrading database artifacts.""
March 23, 2023
Search and Matching Server
Description
Release Date
Download
Search and Matching Server 6.9.0.3 (6.9, Fix Pack 3)
May 07, 2024
Available for download from the
Tungsten Fulfillment Site
.
Search and Matching Server 6.9.0 (6.9, Initial Release)
February 07, 2023
Search and Matching Server 6.9.0 Documentation - Including Release Notes and Technical Specifications
(hosted)
TotalAgility Azure
Description
Release Date
TotalAgility 7.11.0 (7.11, Initial Release)
February 07, 2023
Latest 7.10 Releases
This product reached
End of Support
on December 17, 2025.
TotalAgility
Description
Release Date
TotalAgility 7.10.0.30 (7.10, Fix Pack 30)
October 31, 2024
TotalAgility 7.10.0 (7.10 Initial Release)
December 17, 2021
TotalAgility 7.10 Documentation - Including Release Notes and Technical Specifications
(hosted
)
TotalAgility On-Premise Multi-Tenancy
Description
Release Date
TotalAgility On-Premise Multi-Tenancy 7.10.0.30 (7.10, Fix Pack 30)
October 31, 2024
TotalAgility On-Premise Multi-Tenancy 7.10.0 (7.10 Initial Release)
December 17, 2021
TotalAgility On-Premise Multi-Tenancy
7
.10 Documentation
(hosted)
TotalAgility On-Premise Components (Contains Integration Server and Transformation Designer)
Description
Release Date
TotalAgility 7.10.0.30 (7.10, Fix Pack 30) On-Premise Components
October 31, 2024
TotalAgility 7.10.0 (7.10, Initial Release) On-Premise Components
December 17, 2021
Search and Matching Server
Description
Release Date
Search and Matching Server 6.9.0.3 (6.9, Fix Pack 3)
May 07, 2024
Search and Matching Server 6.9.0 (6.9, Initial Release)
December 17, 2021
Search and Matching Server 6.9.0 Documentation - Including Release Notes and Technical Specifications
(hosted)
TotalAgility Azure
Description
Release Date
TotalAgility 7.10.0 (7.10, Initial Release)
December 17, 2021
Utilities
Description
Release Date
Download
LogCollector v2022.02 Script
The LogCollector v2022.02 Script allows customers to generate logfiles, prepared for Technical Support, to assist in diagnosing issues related to various products
February 07, 2022
Download
- 1.15 MB",Tungsten TotalAgility Product Release Information
"This is not possible to be achieved out of the box with KTA.
We have therefore raised the following ER: .
Enhancement Request 1965353:Add a placeholder on the footer of a word template in a Document creation Activity",Document creation activity a placeholder on the footer
"Please find below settings advised by DEV s that these settings will give the most accurate OCR.
- Recognition mode =
Accurate
- Image transfer mode =
File
Alternatively,
Azure Doc AI Intelligence
is another option to have quality OCR result. This can be configured under
Project Setting -> Recognition
.
Thank you.","The numbers of 1, 5 & 0 are being picked up by OCR as letters like I, S, O"
"Issue:
How can I resolve an issue where the following Javascript error occurs on Scan and Document Review forms after performing a TotalAgility upgrade?
Uncaught TypeError: Cannot read properties of undefined (reading 'show')
Solution:
Disable the ""Default"" checkbox on the Capture Control Layout configuration.",How can I resolve an issue where the following Javascript error occurs on Scan and Document Review forms after performing a TotalAgility upgrade?
"When performing OCR with Tungsten Clarity (Google) or Azure (Microsoft), the existing page image is converted to PNG and then sent to the OCR provider.
Advanced troubleshooting
The converted PNG should be essentially identical to the original page image. But if advanced troubleshooting is needed, and there is reason to suspect a problem with the PNG sent to these services, then the intermediate PNG can be saved.
Add a folder path to an environment variable with the appropriate name:
Clarity: ClarityDumpVisionImageFilePath
Azure: AzureAIDumpImageFilePath
Then OCR requests will save the PNG to that folder. The same name is always used, overwriting if it already exists:
Clarity always saves as 
Azure always saves as 
So, for example, if both environment variables were set to C:\Temp\ and then both OCR engines were tested, and would be created.
This should only be used for troubleshooting in a test environment because this adds performance overhead.",What image is sent when using Clarity or Azure OCR?
